Player,Country,position,GP (total games from 1-10),GS (can be some or all of games played),MP (equals total minutes from games 1-10,G,HG,PKG,A,S,SOG,SOFF,OFF,CK,YC,RC,YRC,Minutes - Game1,Fantasy Points - Game 1,Minutes - Game2,Fantasy Points - Game 2,Minutes - Game3,Fantasy Points - Game 3,Minutes - Game4,Fantasy Points - Game 4,Minutes - Game5,Fantasy Points - Game 5,Minutes - Game6,Fantasy Points - Game 6,Minutes - Game7,Fantasy Points - Game 7,Minutes - Game8,Fantasy Points - Game 8,Minutes - Game9,Fantasy Points - Game 9,Minutes - Game10,Fantasy Points - Game 10,Narrative
Emiliano Martínez,Argentina,Goalkeeper,10,10,900,0,0,0,0,0,0,0,0,0,1,0,0,90,12,90,14,90,11,90,15,90,12,90,15,90,14,90,16,90,13,90,15,Final five show a clean-sheet/save run with strong goalkeeper stability.
Alisson,Brazil,Goalkeeper,10,10,900,0,0,0,0,0,0,0,0,0,1,0,0,90,12,90,14,90,11,90,15,90,12,90,15,90,14,90,16,90,13,90,15,Final five show a clean-sheet/save run with strong goalkeeper stability.
Mike Maignan,France,Goalkeeper,10,10,900,0,0,0,0,0,0,0,0,0,1,0,0,90,12,90,14,90,11,90,15,90,12,90,15,90,14,90,16,90,13,90,15,Final five show a clean-sheet/save run with strong goalkeeper stability.
Yassine Bounou,Morocco,Goalkeeper,10,10,900,0,0,0,0,0,0,0,0,0,1,0,0,90,14,90,12,90,15,90,13,90,14,90,15,90,16,90,13,90,15,90,14,"Final five show heavy save volume, creating a strong fantasy floor."
Gregor Kobel,Switzerland,Goalkeeper,10,10,900,0,0,0,0,0,0,0,0,0,1,0,0,90,14,90,12,90,15,90,13,90,14,90,15,90,16,90,13,90,15,90,14,"Final five show heavy save volume, creating a strong fantasy floor."
Thibaut Courtois,Belgium,Goalkeeper,10,10,900,0,0,0,0,0,0,0,0,0,1,0,0,90,12,90,14,90,11,90,15,90,12,90,15,90,14,90,16,90,13,90,15,Final five show a clean-sheet/save run with strong goalkeeper stability.
Jordan Pickford,England,Goalkeeper,10,10,900,0,0,0,0,0,0,0,0,0,1,0,0,90,14,90,12,90,15,90,13,90,14,90,15,90,16,90,13,90,15,90,14,"Final five show heavy save volume, creating a strong fantasy floor."
Diogo Costa,Portugal,Goalkeeper,10,10,900,0,0,0,0,0,0,0,0,0,1,0,0,90,12,90,14,90,11,90,15,90,12,90,15,90,14,90,16,90,13,90,15,Final five show a clean-sheet/save run with strong goalkeeper stability.
Achraf Hakimi,Morocco,Def,10,10,823,2,0,0,4,15,6,9,1,5,2,0,0,62,11,70,9,76,15,82,12,85,14,88,17,90,12,90,15,90,13,90,16,"Final five show rising form, heavier minutes, and stronger fantasy involvement."
Virgil van Dijk,Netherlands,Def,10,10,900,1,1,0,1,8,3,5,1,0,2,0,0,90,11,90,12,90,11,90,13,90,11,90,14,90,12,90,13,90,12,90,14,Final five show a reliable full-match starter with stable fantasy output.
Joško Gvardiol,Croatia,Def,10,9,778,2,0,0,4,15,6,9,1,5,2,0,0,55,10,64,9,70,14,72,11,75,13,84,17,88,12,90,15,90,13,90,16,Final five show a late surge into a locked-in starting role.
Theo Hernandez,France,Def,10,10,823,2,0,0,4,15,6,9,1,5,2,0,0,62,11,70,9,76,15,82,12,85,14,88,17,90,12,90,15,90,13,90,16,"Final five show rising form, heavier minutes, and stronger fantasy involvement."
Alphonso Davies,Canada,Def,10,10,843,2,0,0,4,15,6,9,1,5,2,0,0,90,13,84,11,90,16,73,11,89,14,90,17,65,10,90,15,82,13,90,16,Final five show volatile fantasy production with several high-ceiling games.
Antonio Rüdiger,Germany,Def,10,10,900,1,1,0,1,8,3,5,1,0,2,0,0,90,11,90,12,90,11,90,13,90,11,90,14,90,12,90,13,90,12,90,14,Final five show a reliable full-match starter with stable fantasy output.
Marquinhos,Brazil,Def,10,10,900,1,0,0,1,8,3,5,1,0,2,0,0,90,11,90,12,90,11,90,13,90,11,90,14,90,12,90,13,90,12,90,14,Final five show a reliable full-match starter with stable fantasy output.
Min-jae Kim,South Korea,Def,10,10,900,1,1,0,1,8,3,5,1,0,2,0,0,90,11,90,12,90,11,90,13,90,11,90,14,90,12,90,13,90,12,90,14,Final five show a reliable full-match starter with stable fantasy output.
Manuel Akanji,Switzerland,Def,10,10,900,1,0,0,1,8,3,5,1,0,2,0,0,90,11,90,12,90,11,90,13,90,11,90,14,90,12,90,13,90,12,90,14,Final five show a reliable full-match starter with stable fantasy output.
Antonee Robinson,United States,Def,10,10,823,2,0,0,4,15,6,9,1,5,2,0,0,62,11,70,9,76,15,82,12,85,14,88,17,90,12,90,15,90,13,90,16,"Final five show rising form, heavier minutes, and stronger fantasy involvement."
Daniel Muñoz,Colombia,Def,10,10,823,2,0,0,4,15,6,9,1,5,2,0,0,62,11,70,9,76,15,82,12,85,14,88,17,90,12,90,15,90,13,90,16,"Final five show rising form, heavier minutes, and stronger fantasy involvement."
