Player,Country,position,GP (total games from 1-10),GS (can be some or all of games played),MP (equals total minutes from games 1-10,G,HG,PKG,A,S,SOG,SOFF,OFF,CK,YC,RC,YRC,Minutes - Game1,Fantasy Points - Game 1,Minutes - Game2,Fantasy Points - Game 2,Minutes - Game3,Fantasy Points - Game 3,Minutes - Game4,Fantasy Points - Game 4,Minutes - Game5,Fantasy Points - Game 5,Minutes - Game6,Fantasy Points - Game 6,Minutes - Game7,Fantasy Points - Game 7,Minutes - Game8,Fantasy Points - Game 8,Minutes - Game9,Fantasy Points - Game 9,Minutes - Game10,Fantasy Points - Game 10,Narrative
Emiliano Martínez,Argentina,Goalkeeper,10,10,900,0,0,0,0,0,0,0,0,0,0,0,0,90,31,90,30,90,27,90,29,90,34,90,35,90,22,90,26,90,33,90,23,Final five show a high-confidence hot streak with consistently strong fantasy returns.
Alisson,Brazil,Goalkeeper,10,10,900,0,0,0,0,0,0,0,0,0,1,0,0,90,31,90,33,90,31,90,32,90,35,90,17,90,31,90,29,90,21,90,35,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Mike Maignan,France,Goalkeeper,10,10,900,0,0,0,0,0,0,0,0,0,1,0,0,90,22,90,19,90,24,90,32,90,24,90,33,90,27,90,14,90,29,90,16,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Yassine Bounou,Morocco,Goalkeeper,10,10,900,0,0,0,0,0,0,0,0,0,1,0,0,90,33,90,32,90,35,90,35,90,22,90,26,90,20,90,35,90,35,90,30,Final five show a high-confidence hot streak with consistently strong fantasy returns.
Gregor Kobel,Switzerland,Goalkeeper,10,10,900,0,0,0,0,0,0,0,0,0,0,0,0,90,35,90,24,90,29,90,27,90,35,90,28,90,33,90,35,90,35,90,29,Final five show a high-confidence hot streak with consistently strong fantasy returns.
Thibaut Courtois,Belgium,Goalkeeper,10,10,900,0,0,0,0,0,0,0,0,0,0,0,0,90,33,90,16,90,22,90,28,90,18,90,29,90,33,90,33,90,28,90,24,Final five show a high-confidence hot streak with consistently strong fantasy returns.
Jordan Pickford,England,Goalkeeper,10,10,900,0,0,0,0,0,0,0,0,0,1,0,0,90,24,90,20,90,28,90,26,90,35,90,28,90,29,90,34,90,35,90,35,Final five show a high-confidence hot streak with consistently strong fantasy returns.
Diogo Costa,Portugal,Goalkeeper,10,10,900,0,0,0,1,0,0,0,0,0,0,0,0,90,35,90,28,90,28,90,19,90,26,90,24,90,35,90,27,90,35,90,23,Final five show a high-confidence hot streak with consistently strong fantasy returns.
Achraf Hakimi,Morocco,Def,10,10,823,2,0,0,3,27,12,15,8,16,1,0,0,62,20,70,26,76,25,82,21,85,24,88,25,90,26,90,28,90,22,90,30,Final five show a high-confidence hot streak with consistently strong fantasy returns.
Virgil van Dijk,Netherlands,Def,10,10,900,0,0,0,1,19,10,9,7,0,1,0,0,90,26,90,26,90,26,90,26,90,15,90,25,90,18,90,20,90,20,90,19,Final five show a high-confidence hot streak with consistently strong fantasy returns.
Joško Gvardiol,Croatia,Def,10,9,778,2,1,0,1,30,11,19,13,12,1,0,0,55,11,64,15,70,14,72,19,75,23,84,25,88,32,90,29,90,29,90,34,Final five show a high-confidence hot streak with consistently strong fantasy returns.
Theo Hernandez,France,Def,10,10,823,1,0,0,1,21,10,11,9,11,2,0,0,62,20,70,18,76,20,82,21,85,14,88,15,90,26,90,34,90,29,90,20,Final five show a clear upward trend with stronger event production layered on top of minutes.
Alphonso Davies,Canada,Def,10,10,843,1,0,0,3,19,5,14,9,17,0,0,0,90,23,84,29,90,17,73,19,89,26,90,29,65,21,90,19,82,28,90,27,Final five show a high-confidence hot streak with consistently strong fantasy returns.
Antonio Rüdiger,Germany,Def,10,10,900,1,1,0,1,19,6,13,12,0,0,0,0,90,26,90,15,90,18,90,22,90,29,90,20,90,22,90,17,90,24,90,27,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Marquinhos,Brazil,Def,10,10,900,1,0,0,0,23,8,15,9,0,0,0,0,90,26,90,27,90,25,90,27,90,29,90,20,90,26,90,15,90,18,90,17,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Min-jae Kim,South Korea,Def,10,10,900,2,0,0,0,19,9,10,13,0,2,0,0,90,22,90,22,90,16,90,27,90,25,90,26,90,20,90,17,90,20,90,29,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Manuel Akanji,Switzerland,Def,10,10,900,0,0,0,1,15,5,10,14,0,1,0,0,90,20,90,15,90,28,90,25,90,17,90,26,90,19,90,19,90,17,90,17,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Antonee Robinson,United States,Def,10,10,823,2,0,0,2,25,7,18,14,10,0,0,0,62,21,70,21,76,20,82,24,85,21,88,26,90,34,90,17,90,15,90,19,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Daniel Muñoz,Colombia,Def,10,10,823,1,1,0,2,18,5,13,9,9,2,0,0,62,17,70,19,76,23,82,21,85,14,88,18,90,27,90,20,90,18,90,24,Final five show a high-confidence hot streak with consistently strong fantasy returns.
Kalidou Koulibaly,Senegal,Def,10,10,900,1,1,0,1,19,10,9,10,0,0,0,0,90,29,90,32,90,15,90,18,90,26,90,17,90,20,90,22,90,17,90,27,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
David Alaba,Austria,Def,10,10,900,0,0,0,0,27,7,20,5,0,2,0,0,90,17,90,15,90,27,90,20,90,20,90,25,90,20,90,20,90,15,90,20,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
César Montes,Mexico,Def,10,10,900,1,0,0,1,17,8,9,12,0,2,0,0,90,15,90,19,90,25,90,17,90,16,90,26,90,27,90,25,90,19,90,20,Final five show a high-confidence hot streak with consistently strong fantasy returns.
Michael Amir Murillo,Panama,Def,10,10,900,0,0,0,0,28,9,19,10,0,1,0,0,90,15,90,22,90,27,90,17,90,15,90,22,90,27,90,18,90,22,90,22,Final five show a high-confidence hot streak with consistently strong fantasy returns.
Chancel Mbemba,DR Congo,Def,10,10,900,1,0,0,0,28,8,20,8,0,2,0,0,90,17,90,22,90,26,90,15,90,19,90,24,90,20,90,20,90,20,90,24,Final five show a high-confidence hot streak with consistently strong fantasy returns.
Ferdi Kadıoğlu,Turkey,Def,10,10,823,2,1,0,3,23,9,14,12,17,1,1,0,62,14,70,20,76,18,82,26,85,19,88,27,90,27,90,20,90,20,90,35,Final five show a high-confidence hot streak with consistently strong fantasy returns.
Victor Lindelöf,Sweden,Def,10,10,900,0,0,0,1,20,5,15,9,0,0,0,0,90,22,90,22,90,17,90,20,90,19,90,21,90,22,90,22,90,22,90,22,Final five show a high-confidence hot streak with consistently strong fantasy returns.
Gustavo Gómez,Paraguay,Def,10,10,900,0,0,0,0,22,5,17,13,0,0,0,0,90,26,90,26,90,19,90,19,90,27,90,20,90,27,90,22,90,24,90,22,Final five show a high-confidence hot streak with consistently strong fantasy returns.
Aymeric Laporte,Spain,Def,10,10,900,1,0,0,1,29,6,23,12,0,0,0,0,90,22,90,20,90,25,90,25,90,15,90,19,90,18,90,25,90,27,90,18,Final five show a high-confidence hot streak with consistently strong fantasy returns.
Jude Bellingham,England,MID,10,10,843,3,0,0,7,35,8,27,9,14,0,0,0,90,20,84,25,90,26,73,29,89,16,90,22,65,18,90,24,82,23,90,16,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Rodri,Spain,MID,10,10,900,0,0,0,3,22,7,15,9,7,2,1,0,90,16,90,27,90,21,90,21,90,18,90,14,90,12,90,16,90,16,90,16,Final five show a stable fantasy floor with limited volatility.
Kevin De Bruyne,Belgium,MID,9,8,679,0,0,0,2,32,10,22,9,24,1,1,0,90,14,88,26,72,11,0,0,25,4,63,9,76,24,85,22,90,22,90,26,Final five show a clear upward trend with stronger event production layered on top of minutes.
Jamal Musiala,Germany,MID,10,10,823,2,0,0,8,30,14,16,12,8,0,0,0,62,14,70,12,76,15,82,26,85,21,88,23,90,26,90,29,90,23,90,34,Final five show a high-confidence hot streak with consistently strong fantasy returns.
Florian Wirtz,Germany,MID,10,10,787,1,0,0,3,36,15,21,12,7,1,0,0,75,27,90,19,68,19,90,19,60,10,82,19,74,16,90,19,70,19,88,21,Final five show a stable fantasy floor with limited volatility.
Bruno Fernandes,Portugal,MID,10,10,900,3,0,0,8,29,11,18,10,32,1,1,0,90,12,90,21,90,26,90,30,90,32,90,24,90,12,90,19,90,22,90,23,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Enzo Fernández,Argentina,MID,10,10,787,1,0,0,0,26,12,14,9,14,1,0,0,75,20,90,19,68,14,90,14,60,15,82,16,74,24,90,19,70,15,88,18,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Martin Ødegaard,Norway,MID,10,10,787,1,0,0,0,28,10,18,9,28,2,0,0,75,19,90,18,68,22,90,22,60,12,82,22,74,15,90,12,70,14,88,19,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Luka Modrić,Croatia,MID,10,10,787,2,0,0,5,18,12,6,10,9,0,0,0,75,19,90,19,68,23,90,29,60,15,82,28,74,18,90,16,70,14,88,22,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
