group,nation,position,player,caps,goals,numberWC22
Group J,Argentina,GK,Emiliano Martínez,59,0,
Group J,Argentina,MF,Enzo Fernández,40,6,
Group J,Argentina,FW,Lionel Messi,198,116,
Group J,Austria,DF,David Alaba,112,15,
Group J,Austria,MF,Marcel Sabitzer,97,25,
Group G,Belgium,GK,Thibaut Courtois,107,0,
Group G,Belgium,MF,Kevin De Bruyne,117,36,
Group G,Belgium,FW,Romelu Lukaku,124,89,
Group C,Brazil,GK,Alisson,76,0,
Group C,Brazil,DF,Marquinhos,104,7,
Group C,Brazil,FW,Vinícius Júnior,47,8,
Group B,Canada,DF,Alphonso Davies,58,15,
Group B,Canada,FW,Jonathan David,75,39,
Group K,Colombia,DF,Daniel Muñoz,44,3,
Group K,Colombia,FW,Luis Díaz,72,21,
Group L,Croatia,DF,Joško Gvardiol,46,4,
Group L,Croatia,MF,Luka Modrić,196,28,
Group K,DR Congo,DF,Chancel Mbemba,107,7,
Group G,Egypt,FW,Mohamed Salah,116,67,
Group L,England,GK,Jordan Pickford,82,0,
Group L,England,MF,Jude Bellingham,46,6,
Group L,England,FW,Harry Kane,112,78,
Group I,France,GK,Mike Maignan,38,0,
Group I,France,DF,Théo Hernandez,42,2,
Group I,France,FW,Kylian Mbappé,96,56,
Group E,Germany,DF,Antonio Rüdiger,82,3,2
Group E,Germany,MF,Florian Wirtz,39,10,17
Group E,Germany,MF,Jamal Musiala,40,8,10
Group L,Ghana,MF,Thomas Partey,56,15,
Group E,Ivory Coast,MF,Franck Kessié,102,15,
Group F,Japan,MF,Junya Itō,68,15,14
Group A,Mexico,DF,César Montes,65,4,
Group C,Morocco,GK,Yassine Bounou,89,0,
Group C,Morocco,DF,Achraf Hakimi,95,11,
Group C,Morocco,MF,Azzedine Ounahi,47,9,
Group F,Netherlands,DF,Virgil van Dijk,90,12,
Group F,Netherlands,MF,Tijjani Reijnders,30,7,
Group I,Norway,MF,Martin Ødegaard,67,4,
Group I,Norway,FW,Erling Haaland,49,55,
Group L,Panama,DF,Michael Amir Murillo,91,9,
Group D,Paraguay,DF,Gustavo Gómez,88,4,
Group K,Portugal,GK,Diogo Costa,42,0,
Group K,Portugal,MF,Bruno Fernandes,87,28,
Group K,Portugal,FW,Cristiano Ronaldo,226,143,
Group C,Scotland,MF,John McGinn,85,20,
Group C,Scotland,MF,Scott McTominay,69,14,
Group I,Senegal,DF,Kalidou Koulibaly,103,2,
Group A,South Korea,DF,Kim Min-jae,77,4,
Group A,South Korea,FW,Son Heung-min,142,54,
Group H,Spain,DF,Aymeric Laporte,44,2,
Group H,Spain,MF,Rodri,61,4,
Group H,Spain,FW,Lamine Yamal,25,6,
Group F,Sweden,DF,Victor Lindelöf,75,3,
Group B,Switzerland,GK,Gregor Kobel,20,0,1
Group B,Switzerland,DF,Manuel Akanji,79,4,5
Group B,Switzerland,MF,Granit Xhaka,144,16,
Group D,Turkey,DF,Ferdi Kadıoğlu,30,2,
Group D,Turkey,MF,Hakan Çalhanoğlu,104,22,
Group D,United States,DF,Antonee Robinson,52,4,5
Group D,United States,MF,Weston McKennie,64,12,8
